"Actual_count","Predicted_count"
1204,1492.94262016647
683,1279.36751922881
1543,1244.18816203376
986,1300.56589071929
431,1396.19170630669
1098,1426.40683654018
1708,1638.77209036312
1005,1487.28988993187
2115,1742.04739051485
2475,2739.92513984798
2927,3409.63995562572
1461,1607.05677644024
1891,1889.97879932143
2046,2163.43172611843
2703,3086.46921709503
2252,2203.54667010091
2808,3165.19030829886
2895,2732.15674870286
2034,3701.20460070736
5312,3994.18178431991
2633,2482.53060364558
4714,4474.0897595098
4864,4495.45219263994
4105,3996.13862340035
4758,4704.40539164619
4401,4564.78428105602
4586,4614.35064215789
5180,4996.06611156326
3767,4217.69118697349
4835,4196.9485411007
4790,4127.57449662992
4648,4634.24835872546
5225,4964.8468918997
4649,4085.72253981685
6043,4338.11732534962
4881,4591.93812407411
4258,4549.44436135535
5084,5127.2820889215
3606,3853.28182967241
4266,4555.50940786388
4792,4792.97191554493
4338,4643.52163375517
5895,4849.662388205
3542,4061.30698453025
5204,4838.61687818376
4484,4843.7616520579
4940,4706.28114407223
4352,3786.72327475738
4795,3565.38267951928
2395,4109.23998436748
4456,4618.08396630507
4826,4873.40406418867
4765,4634.98809340945
2416,2468.47359126984
2913,3807.94321001683
3644,4072.84467765568
4570,4854.47600033586
4304,3797.7248456017
4381,3894.93726977475
4187,4193.30410531421
3747,3159.33433256558
4186,3548.75287261941
3974,3819.75813933053
3717,3814.34671545729
1817,2331.59700132275
3068,3555.1963632399
3071,4069.26374835032
3940,3428.98506454432
3614,3424.0399454967
3485,3504.84863781462
2594,2226.98673015873
3620,3457.27921930622
3190,3318.15926452027
3577,3259.61741762867
754,1953.64464210658
2999,1948.13297483605
3598,3746.26829302161
2493,2714.26827768637
2298,2569.33401170333
2935,3274.6246242655
3292,2749.30408259637
4339,3131.95994462854
3624,3033.10601276996
4579,5282.66760084563
3831,3333.26605224992
2689,3192.12856414689
4773,4232.13032044282
3956,3260.66816131868
4916,4283.04096765086
6192,6016.20457824067
4378,4604.15099107497
6871,6122.40635172096
3372,4977.54641594517
5102,5112.11094750068
7132,6758.84585636545
1027,3146.2658623147
6196,6651.81309086898
6304,6620.90954078698
6169,6365.05124680084
4717,5457.87981577409
6572,6369.43065020605
7384,6925.46611902577
5260,6105.2700392867
6591,6652.15681499296
7001,5853.1180410597
7055,7331.99321782089
6664,5885.4255333168
6978,7377.61918810525
7458,6888.5199703303
6660,6459.98466604325
7446,7114.96552238732
7499,6750.51278667337
6830,6776.45931349137
5713,6542.17592398361
7175,6401.40293096288
7148,6998.38579559764
7865,7164.7893857353
7765,7347.8739789271
5810,6166.0047706274
7112,7095.93121653341
8009,7723.14152571521
7333,7751.13274614293
6869,6424.67720034084
7415,6774.87945830169
6889,7742.21649348099
7965,7000.0122428494
7570,6588.77192446734
7282,6460.3481789721
7693,7460.10279900752
5138,5137.76493546922
5107,5410.92879051334
5259,5212.20241278629
6269,6266.9622633213
4094,4844.07670565165
5698,5357.37477391883
3910,5726.17895481756
2277,4351.4780435144
6234,6240.48617646973
5375,4298.80985204553
5170,4609.44213876864
5532,5264.61061091645
